tne_bfe_bidata_mdbi,魔数,tne_bfe_bidata,,
tne_cthrift_open,octo通讯开源框架,tne,,
mos_biz,云计算部,__root,,
mos_biz_cloud,后端,mos_biz,,
mos_biz_console,控制台,mos_biz,,
mos_biz_crm,CRM,mos_biz,,
mos_biz_mebs,MEBS,mos_biz,,
mos_biz_network,网络,mos_biz,,
mos_biz_s3,S3,mos_biz,,
mos_biz_sysop,运维,mos_biz,,
sh_platform,平台(上海),__root,,
sh_platform_rd1,平台技术部,sh_platform,,
sh_platform_rd1_mapi,移动研发中心,sh_platform_rd1,,
sh_platform_rd1_message,基础平台研发组,sh_platform_rd1,,
sh_platform_rd1_social,社区平台研发组,sh_platform_rd1,,
sh_platform_rd1_ugc,用户内容研发组,sh_platform_rd1,,
sh_platform_rd1_mweb,前端研发中心,sh_platform_rd1,,
sh_platform_rd1_sc,搜索前端组,sh_platform_rd1,,
sh_platform_rd1_sf,搜索架构组,sh_platform_rd1,,
sh_platform_rd1_se,搜索体验中心,sh_platform_rd1,,
sh_platform_rd1_contentmining,泛内容挖掘组,sh_platform_rd1,,
sh_platform_rd1_indexsearch,首页推荐,sh_platform_rd1,,
sh_platform_rd1_operation,平台运营研发组,sh_platform_rd1,,
sh_platform_poi,POI技术中心,sh_platform,,
sh_platform_poi_category,数据体系与丰富化信息组,sh_platform_poi,,
sh_platform_poi_architect,POI基础研发组,sh_platform_poi,,
sh_platform_poi_crawler,数据采集,sh_platform_poi,,
sh_platform_poi_relation,去重关联组,sh_platform_poi,,
sh_platform_poi_info,信息质量组,sh_platform_poi,,
sh_platform_poi_control,中控平台组,sh_platform_poi,,
sh_platform_poi_opp,用户产品与基础流程组,sh_platform_poi,,
sh_platform_poi_datamining,信息挖掘与应用组,sh_platform_poi,,
bj_platform,平台(北京),__root,,
bj_platform_group,移动平台,bj_platform,,
bj_platform_group_operation,平台运营,bj_platform_group,,
bj_platform_group_user,平台用户,bj_platform_group,,
bj_platform_group_search,平台搜索,bj_platform_group,,
bj_platform_group_ugc,UGC,bj_platform_group,,
bj_platform_group_position,平台定位,bj_platform_group,,
bj_platform_group_usergrowth,用户增长,bj_platform_group,,
bj_platform_group_tower,美团旅行,bj_platform_group,,
bj_platform_group_other,其他,bj_platform_group,,
bj_platform_group_servicept,服务平台,bj_platform_group,,
bj_platform_group_recommend,推荐,bj_platform_group,,
bj_platform_ios,iOS客户端,bj_platform,,
bj_platform_android,Android客户端,bj_platform,,
bj_platform_business_ios,平台业务iOS客户端 ,bj_platform,,
bj_platform_bp,商户业务,bj_platform,,
bj_platform_ai,AI应用孵化器,bj_platform,,
bj_platform_ai_us,中控服务,bj_platform_ai,,
