qcs.service.orderdatabus,zhuyue02,技术研发部-乘客端组,qcs_trd_c
qcs.service.graytool,yangyong12,技术研发部-乘客端组,qcs_trd_c
qcs.r.ios.phoneprotect,chenchen64,终端研发部-客户端组-司机端iOS组,qcs_trml_c_dios
qcs.risk.view,zhangleilei02,风控部-技术组,qcs_rcd_tech
qcs.service.csync,songzhihao,技术研发部-乘客端组,qcs_trd_c
qcs.service.travelsession,kexi,技术研发部-架构组,qcs_trd_arch
qcs.promotion.engine,zhenglei08,技术研发部-运营端组,qcs_trd_oe
qcs.mobile.service.log,dongxiabin,终端研发部-客户端组-LBS组,qcs_trml_c_lbs
qcs.service.monitormatch,zhengshaogang,技术研发部-乘客端组,qcs_trd_c
qcs.r.ios.workbench,chenchen64,终端研发部-客户端组-司机端iOS组,qcs_trml_c_dios
qcs.promotion.thirdpartcoupon,xiaochutian,技术研发部-运营端组,qcs_trd_oe
qcs.service.orderdataclean,xingruibo,技术研发部-乘客端组,qcs_trd_c
qcs.service.hubble,ray.lv,技术研发部-架构组,qcs_trd_arch
qcs.thor.mafka-bridge,wangmian03,LBS研发部-核心引擎组,qcs_lbs_ce
qcs.rc.rest,lixuejuan,技术研发部-司机端组,qcs_trd_d
qcs.service.notifycenter,lixuejuan,技术研发部-司机端组,qcs_trd_d
qcs.promotion.rouse,xiaochutian,技术研发部-运营端组,qcs_trd_oe
qcs.service.ordermapping,xingruibo,技术研发部-乘客端组,qcs_trd_c
qcs.risk.server,wanghao79,风控部-技术组,qcs_rcd_tech
qcs.regulation.wanganbu,yinfuqing,技术研发部-M端组,qcs_trd_m
qcs.r.settle.invoice,songtao02,技术研发部-结算组,qcs_trd_settle
qcs.rental.server,linshumin,技术研发部-M端组,qcs_trd_m
qcs.service.orderarchive,wangbinqi,技术研发部-乘客端组,qcs_trd_c
qcs.r.order.advance,chenjieru,风控部-技术组,qcs_rcd_tech
qcs.regulation.resty,houxuehui,技术研发部-司机端组,qcs_trd_d
qcs.risk.spark.streaming,heyue05,风控部-技术组,qcs_rcd_tech
qcs.r.settle.monitor,wengshijin,LBS研发部-核心引擎组,qcs_lbs_ce
qcs.service.user,chencheng28,技术研发部-乘客端组,qcs_trd_c
qcs.service.im,jihaixiao,技术研发部-乘客端组,qcs_trd_c
qcs.service.cpush,taoxin,技术研发部-架构组,qcs_trd_arch
qcs.r.settle.web,gaofandong02,技术研发部-结算组,qcs_trd_settle
qcs.risk.compute,chenjieru,风控部-技术组,qcs_rcd_tech
qcs.r.settle.audit,wengshijin,LBS研发部-核心引擎组,qcs_lbs_ce
qcs.service.orderpush,taoxin,技术研发部-架构组,qcs_trd_arch
qcs.rental.web,yuanyulei,技术研发部-乘客端组,qcs_trd_c
qcs.risk.web,zhangleilei02,风控部-技术组,qcs_rcd_tech
qcs.service.push,taoxin,技术研发部-架构组,qcs_trd_arch
qcs.r.ios.account,liyafei06,终端研发部-客户端组-司机端iOS组,qcs_trml_c_dios
qcs.service.usersafe,gaozhou,技术研发部-乘客端组,qcs_trd_c
qcs.r.settle.pay,gaoyang09,技术研发部-结算组,qcs_trd_settle
qcs.service.driver.capacity,zhangzuopeng,技术研发部-司机端组,qcs_trd_d
qcs.risk.cache,wanghao79,风控部-技术组,qcs_rcd_tech
qcs.service.uservisitlog,songzhihao,技术研发部-乘客端组,qcs_trd_c
qcs.uc.web,liuyang181,技术研发部-乘客端组,qcs_trd_c
qcs.risk.rt.datacleaning,heyue05,风控部-技术组,qcs_rcd_tech
qcs.risk.storm,chenjieru,风控部-技术组,qcs_rcd_tech
qcs.punish.server,luolinqiang,技术研发部-司机端组,qcs_trd_d
qcs.settle.c.account,songtao02,技术研发部-结算组,qcs_trd_settle
qcs.rc.server,wuchenqiu,技术研发部-司机端组,qcs_trd_d
qcs.service.virtual.phone,zhouchang03,技术研发部-乘客端组,qcs_trd_c
qcs.service.driver.score,luolinqiang,技术研发部-司机端组,qcs_trd_d
qcs.service.recruit,yangyang25,技术研发部-司机端组,qcs_trd_d
qcs.taxi.android,lipeng33,终端研发部-客户端组-司机端安卓组,qcs_trml_c_dandroid
qcs.r.settle.server,linxiangnan,技术研发部-结算组,qcs_trd_settle
qcs.thrift,tianchaozhe,技术研发部-M端组,qcs_trd_m
qcs.rc.verification,xieshengli,技术研发部-司机端组,qcs_trd_d
qcs.ugc.server,zhouchang03,技术研发部-乘客端组,qcs_trd_c
qcs.r.ios.business,chenchen64,终端研发部-客户端组-司机端iOS组,qcs_trml_c_dios
qcs.service.drivercenter,fuwuzhou,技术研发部-司机端组,qcs_trd_d
qcs.thor.flink,huyunfeng03,LBS研发部-核心引擎组,qcs_lbs_ce
qcs.regulation.bj,sunshichao,技术研发部-司机端组,qcs_trd_d
qcs.service.ros,chengguojiang,技术研发部-司机端组,qcs_trd_d
qcs.service.toordercenter,wangbinqi,技术研发部-乘客端组,qcs_trd_c
qcs.rc.admin,wuchenqiu,技术研发部-司机端组,qcs_trd_d
